,Locality,Buy Rate per Sqft,1 BHK,2 BHK,3 BHK
727,Sector 1 Sanpada,"Rs. 10,668 - 12,155/sq. ft.","Rs. 15,428 - 18,232",-,-
728,Sector 2 Kharghar,"Rs. 9,775 - 10,922/sq. ft.",-,"Rs. 19,768 - 22,239","Rs. 25,298 - 28,597"
729,Sector 2 Ulwe,"Rs. 6,035 - 7,012/sq. ft.","Rs. 5,423 - 6,409","Rs. 9,023 - 9,843","Rs. 13,941 - 16,476"
730,Sector 3 Kharghar,"Rs. 7,862 - 9,052/sq. ft.","Rs. 12,375 - 13,451",-,-
731,Sector 4 Kharghar,"Rs. 9,265 - 10,158/sq. ft.","Rs. 12,495 - 13,388","Rs. 16,958 - 23,418",-
732,Sector 5 Ghansoli,"Rs. 9,562 - 10,752/sq. ft.","Rs. 12,442 - 14,835","Rs. 19,747 - 23,038","Rs. 27,418 - 30,845"
733,Sector 5 Ulwe,"Rs. 6,715 - 7,522/sq. ft.","Rs. 5,957 - 6,950","Rs. 9,135 - 9,965",-
734,Sector 6 Kamothe,"Rs. 6,715 - 7,905/sq. ft.","Rs. 7,997 - 10,496",-,-
735,Sector 7 Airoli,"Rs. 11,135 - 13,005/sq. ft.","Rs. 16,357 - 19,244","Rs. 21,420 - 24,480","Rs. 32,144 - 38,794"
736,Sector 7 Kharghar,"Rs. 9,988 - 10,710/sq. ft.",-,"Rs. 21,644 - 27,056","Rs. 27,370 - 32,130"
737,Sector 8 Airoli,"Rs. 10,710 - 12,155/sq. ft.","Rs. 14,458 - 17,832","Rs. 22,134 - 26,561","Rs. 26,520 - 34,680"
738,Sector 8 New Panvel,-,"Rs. 7,650 - 7,650",-,-
739,Sector 9 Airoli,"Rs. 8,542 - 9,732/sq. ft.","Rs. 12,155 - 13,558","Rs. 17,340 - 21,675",-
740,Sector 10 Kamothe,"Rs. 6,545 - 7,395/sq. ft.","Rs. 8,109 - 8,560","Rs. 10,972 - 11,756",-
741,Sector 10 Kharghar,"Rs. 8,075 - 9,095/sq. ft.","Rs. 10,996 - 12,995","Rs. 18,564 - 21,216","Rs. 25,686 - 29,356"
742,Sector 11 Belapur,"Rs. 9,902 - 11,560/sq. ft.","Rs. 14,297 - 16,269","Rs. 22,586 - 27,798","Rs. 36,720 - 43,520"
743,Sector 11 Kamothe,"Rs. 6,672 - 7,268/sq. ft.","Rs. 8,208 - 8,690",-,-
744,Sector 11 Kharghar,"Rs. 8,202 - 9,520/sq. ft.","Rs. 10,710 - 13,770","Rs. 17,765 - 21,802","Rs. 20,188 - 26,562"
745,Sector 11 Koparkhairane,"Rs. 10,838 - 12,750/sq. ft.","Rs. 14,525 - 17,248","Rs. 22,562 - 28,203","Rs. 29,743 - 34,150"
746,Sector 12 Kharghar,"Rs. 8,840 - 10,072/sq. ft.","Rs. 10,752 - 12,708","Rs. 18,700 - 22,100","Rs. 28,892 - 31,518"
747,Sector 12 Vashi,"Rs. 11,135 - 12,750/sq. ft.",-,"Rs. 21,760 - 26,112","Rs. 41,643 - 57,259"
748,Sector 13 Sanpada,"Rs. 12,962 - 14,620/sq. ft.","Rs. 16,124 - 19,349",-,-
749,Sector 14 Belapur,-,"Rs. 10,752 - 14,025",-,-
750,Sector 14 Kamothe,"Rs. 5,950 - 6,502/sq. ft.","Rs. 7,154 - 7,601",-,-
751,Sector 14 Kharghar,"Rs. 10,115 - 11,262/sq. ft.",-,"Rs. 21,819 - 25,264",-
752,Sector 14 Vashi,"Rs. 14,408 - 17,978/sq. ft.","Rs. 16,040 - 21,921","Rs. 23,800 - 34,850","Rs. 34,558 - 37,699"
753,Sector 15 Belapur,"Rs. 10,752 - 13,260/sq. ft.",-,"Rs. 26,384 - 32,980","Rs. 42,075 - 57,375"
754,Sector 15 Kamothe,"Rs. 5,780 - 6,205/sq. ft.","Rs. 8,384 - 8,384","Rs. 12,138 - 12,947",-
755,Sector 15 Kharghar,"Rs. 9,350 - 10,115/sq. ft.","Rs. 9,086 - 11,682","Rs. 19,635 - 22,440","Rs. 27,030 - 31,084"
756,Sector 15 Kopar Khairane,"Rs. 9,350 - 11,220/sq. ft.","Rs. 15,232 - 16,660",-,-
757,Sector 15 Nerul,"Rs. 10,242 - 12,495/sq. ft.",-,-,-
758,Sector 16 Ghansoli,"Rs. 9,392 - 10,115/sq. ft.","Rs. 12,737 - 13,681","Rs. 18,911 - 19,611",-
759,Sector 16 Kamothe,"Rs. 6,928 - 7,778/sq. ft.","Rs. 6,796 - 9,514","Rs. 11,750 - 13,219",-
760,Sector 16 Vashi,-,"Rs. 17,680 - 22,100","Rs. 22,658 - 27,513",-
761,Sector 16A Nerul,"Rs. 14,408 - 17,892/sq. ft.",-,"Rs. 31,732 - 35,465","Rs. 43,030 - 47,064"
762,Sector 17 Ulwe,"Rs. 6,502 - 7,395/sq. ft.","Rs. 5,367 - 5,855","Rs. 8,761 - 10,354","Rs. 12,192 - 13,301"
763,Sector 17 Vashi,"Rs. 13,898 - 16,872/sq. ft.","Rs. 19,380 - 23,460","Rs. 29,750 - 38,250","Rs. 43,605 - 53,295"
764,Sector 18 Kamothe,"Rs. 6,715 - 7,352/sq. ft.","Rs. 8,670 - 9,690","Rs. 14,956 - 16,950",-
765,Sector 18 Kharghar,"Rs. 7,862 - 8,798/sq. ft.","Rs. 9,945 - 11,602","Rs. 16,294 - 18,105","Rs. 23,103 - 28,237"
766,Sector 19 Kamothe,"Rs. 6,672 - 7,310/sq. ft.","Rs. 8,222 - 9,189","Rs. 11,900 - 13,600","Rs. 16,327 - 17,493"
767,Sector 19 Kharghar,"Rs. 8,500 - 9,732/sq. ft.","Rs. 10,710 - 12,240","Rs. 17,000 - 19,550","Rs. 28,149 - 32,171"
768,Sector 19 Nerul,"Rs. 12,368 - 14,025/sq. ft.","Rs. 14,770 - 16,616","Rs. 23,715 - 26,010",-
769,Sector 19 Ulwe,"Rs. 6,035 - 6,800/sq. ft.","Rs. 5,957 - 6,950","Rs. 9,322 - 11,864","Rs. 12,316 - 13,548"
770,Sector 19A Nerul,"Rs. 12,452 - 13,472/sq. ft.","Rs. 15,428 - 16,830","Rs. 27,489 - 31,654","Rs. 40,120 - 47,642"
771,Sector 19B,"Rs. 6,460 - 6,928/sq. ft.","Rs. 6,232 - 10,067",-,-
772,Sector 20 Airoli,"Rs. 9,350 - 10,625/sq. ft.","Rs. 13,328 - 15,708","Rs. 20,244 - 21,801",-
773,Sector 20 Belapur,"Rs. 7,310 - 8,500/sq. ft.","Rs. 9,818 - 12,155","Rs. 16,745 - 21,768",-
774,Sector 20 Kamothe,"Rs. 6,418 - 7,225/sq. ft.","Rs. 7,874 - 9,351","Rs. 10,895 - 12,572","Rs. 14,892 - 16,133"
775,Sector 20 Kharghar,"Rs. 8,330 - 9,478/sq. ft.","Rs. 10,050 - 11,485","Rs. 18,700 - 22,950","Rs. 23,241 - 25,823"
776,Sector 20 Ulwe,"Rs. 6,248 - 7,140/sq. ft.","Rs. 5,638 - 6,151","Rs. 9,303 - 10,995","Rs. 11,611 - 16,255"
777,Sector 21 Ghansoli,"Rs. 8,075 - 9,052/sq. ft.","Rs. 10,850 - 12,266","Rs. 18,064 - 21,349",-
778,Sector 21 Kamothe,"Rs. 6,545 - 7,268/sq. ft.","Rs. 7,948 - 8,882","Rs. 12,750 - 14,450","Rs. 19,031 - 20,150"
779,Sector 21 Kharghar,"Rs. 8,075 - 9,265/sq. ft.","Rs. 10,710 - 14,280","Rs. 16,247 - 18,812","Rs. 24,008 - 28,581"
780,Sector 21 Nerul,"Rs. 12,112 - 13,430/sq. ft.","Rs. 14,026 - 15,477","Rs. 22,610 - 25,032","Rs. 31,442 - 39,593"
781,Sector 21 Ulwe,"Rs. 6,715 - 7,565/sq. ft.","Rs. 6,120 - 7,140","Rs. 9,247 - 10,928","Rs. 11,900 - 13,090"
782,Sector 22 Kamothe,"Rs. 6,418 - 7,098/sq. ft.","Rs. 8,468 - 9,464","Rs. 11,543 - 12,368",-
783,Sector 23 Ghansoli,"Rs. 8,585 - 9,818/sq. ft.","Rs. 11,669 - 13,260","Rs. 18,462 - 20,000",-
784,Sector 23 Nerul,"Rs. 8,968 - 11,008/sq. ft.",-,"Rs. 19,315 - 22,675",-
785,Sector 23 Ulwe,"Rs. 6,502 - 7,268/sq. ft.","Rs. 5,926 - 6,914",-,"Rs. 16,100 - 18,577"
786,Sector 25 Nerul,"Rs. 12,240 - 14,068/sq. ft.",-,"Rs. 24,157 - 26,656","Rs. 31,620 - 33,660"
787,Sector 26 Vashi,"Rs. 9,945 - 11,050/sq. ft.","Rs. 14,518 - 16,592","Rs. 21,462 - 26,614",-
788,Sector 28 Vashi,"Rs. 9,818 - 10,582/sq. ft.","Rs. 16,242 - 18,153","Rs. 24,576 - 28,813","Rs. 37,460 - 43,703"
789,Sector 29 Nerul,"Rs. 12,962 - 16,830/sq. ft.",-,"Rs. 28,315 - 31,855",-
790,Sector 29 Vashi,"Rs. 14,152 - 16,278/sq. ft.","Rs. 20,272 - 22,074","Rs. 24,045 - 28,553","Rs. 32,045 - 46,410"
791,Sector 30 Kharghar,"Rs. 6,078 - 7,098/sq. ft.",-,"Rs. 11,103 - 13,482",-
792,Sector 30A Vashi,"Rs. 11,858 - 13,642/sq. ft.","Rs. 17,082 - 19,671","Rs. 27,200 - 29,750",-
793,Sector 34 Kamothe,"Rs. 6,418 - 7,352/sq. ft.","Rs. 8,179 - 8,660","Rs. 12,597 - 14,277",-
794,Sector 34C Kharghar,"Rs. 8,032 - 9,180/sq. ft.","Rs. 8,174 - 9,195","Rs. 14,960 - 18,700","Rs. 22,506 - 23,757"
795,Sector 35I Kharghar,"Rs. 7,182 - 8,118/sq. ft.","Rs. 8,704 - 11,968","Rs. 15,100 - 17,765","Rs. 21,558 - 23,953"
796,Sector 36 Kamothe,"Rs. 6,672 - 7,352/sq. ft.","Rs. 8,771 - 9,803","Rs. 12,316 - 13,138","Rs. 16,053 - 17,200"
797,Sector 36 Kharghar,"Rs. 6,630 - 7,438/sq. ft.","Rs. 6,545 - 7,948","Rs. 14,280 - 16,065","Rs. 21,068 - 24,786"
798,Sector 36 Seawoods,"Rs. 10,285 - 12,198/sq. ft.","Rs. 10,557 - 14,688","Rs. 26,698 - 29,368","Rs. 33,393 - 42,384"
799,Sector 40 Seawoods,"Rs. 11,390 - 12,962/sq. ft.","Rs. 16,320 - 17,850","Rs. 21,945 - 26,166","Rs. 40,800 - 48,960"
800,Sector 42 Seawoods,"Rs. 11,178 - 12,835/sq. ft.","Rs. 15,546 - 17,051","Rs. 24,650 - 26,350","Rs. 35,151 - 37,575"
801,Sector 44 Seawoods,"Rs. 9,945 - 12,750/sq. ft.","Rs. 11,496 - 13,796","Rs. 21,250 - 26,350","Rs. 30,409 - 38,292"
802,Sector 48-A Seawoods,-,"Rs. 12,155 - 14,492",-,-
803,Shahbaz Village,"Rs. 7,438 - 8,500/sq. ft.",-,-,-
804,Shilphata,"Rs. 5,525 - 6,460/sq. ft.","Rs. 6,177 - 8,078","Rs. 9,580 - 11,054",-
805,Shirdon,"Rs. 3,570 - 4,335/sq. ft.",-,-,-
806,Shiv Colony,-,"Rs. 10,370 - 13,688",-,-
807,Sukapur,"Rs. 4,420 - 5,482/sq. ft.","Rs. 4,718 - 6,604",-,-
808,Takka Colony,"Rs. 6,545 - 7,522/sq. ft.",-,-,-
809,Taloja,"Rs. 4,632 - 5,312/sq. ft.","Rs. 4,947 - 5,442","Rs. 7,290 - 8,911",-
810,Taloja Panchanand,"Rs. 4,888 - 5,652/sq. ft.","Rs. 4,712 - 6,283","Rs. 8,398 - 9,238",-
811,Taloje Majkur,"Rs. 4,590 - 5,015/sq. ft.",-,-,-
812,Ulwe,"Rs. 6,545 - 7,480/sq. ft.","Rs. 5,535 - 6,542","Rs. 9,275 - 10,962","Rs. 13,445 - 15,890"
813,Usarli Khurd,"Rs. 4,462 - 4,675/sq. ft.","Rs. 4,552 - 6,069",-,-
814,Vadghar,"Rs. 4,802 - 5,440/sq. ft.",-,-,-
815,Vashi,"Rs. 11,815 - 14,875/sq. ft.","Rs. 16,662 - 20,701","Rs. 24,225 - 29,878","Rs. 38,080 - 47,600"
816,Vichumbe,"Rs. 4,632 - 5,185/sq. ft.","Rs. 5,610 - 7,140","Rs. 8,565 - 8,565",-
817,Abhyudaya Nagar,"Rs. 24,565 - 28,602/sq. ft.","Rs. 16,473 - 17,200","Rs. 64,842 - 70,172","Rs. 95,189 - 1,06,225"
818,Adarsh Nagar,"Rs. 32,852 - 39,652/sq. ft.","Rs. 23,715 - 26,245","Rs. 61,370 - 74,290","Rs. 1,13,356 - 1,40,278"
819,Agripada,"Rs. 25,500 - 29,750/sq. ft.","Rs. 28,730 - 31,824","Rs. 61,922 - 71,910",-
820,Altamount Road,"Rs. 54,698 - 71,825/sq. ft.","Rs. 73,780 - 89,250","Rs. 1,21,464 - 1,56,009","Rs. 2,03,108 - 2,82,285"
821,Apollo Bandar,-,"Rs. 51,510 - 56,610",-,-
822,BDD Chawls Worli,-,-,-,"Rs. 1,13,402 - 1,18,934"
823,Breach Candy,"Rs. 49,682 - 60,902/sq. ft.","Rs. 62,424 - 76,500","Rs. 1,27,939 - 1,41,525","Rs. 1,88,700 - 2,31,200"
824,Century Bazaar,"Rs. 27,838 - 32,002/sq. ft.","Rs. 14,280 - 17,255","Rs. 65,450 - 72,250",-
825,Chamundeshwari Nagar,"Rs. 47,090 - 55,888/sq. ft.","Rs. 73,096 - 85,549","Rs. 1,23,781 - 1,45,567","Rs. 1,77,630 - 2,12,290"
826,Churchgate,"Rs. 34,722 - 45,305/sq. ft.","Rs. 26,163 - 30,753","Rs. 1,14,750 - 1,40,250","Rs. 1,73,400 - 1,95,500"
827,Colaba,"Rs. 31,960 - 37,145/sq. ft.","Rs. 49,939 - 58,752","Rs. 77,928 - 96,598","Rs. 1,89,638 - 2,23,910"
828,Cuffe Parade,"Rs. 44,582 - 52,232/sq. ft.","Rs. 70,125 - 81,812","Rs. 1,16,644 - 1,33,738","Rs. 1,74,742 - 2,00,737"
829,Dadar,"Rs. 28,178 - 33,490/sq. ft.","Rs. 20,553 - 27,514","Rs. 64,600 - 78,200","Rs. 1,20,615 - 1,48,665"
830,Dadar (East),"Rs. 25,628 - 30,218/sq. ft.","Rs. 31,875 - 36,550","Rs. 57,301 - 63,114","Rs. 1,24,950 - 1,49,940"
831,Dadar (West),"Rs. 29,155 - 35,232/sq. ft.","Rs. 20,014 - 26,904","Rs. 66,300 - 79,050","Rs. 1,24,924 - 1,54,074"
832,Gamdevi,"Rs. 35,275 - 44,115/sq. ft.","Rs. 30,322 - 36,474","Rs. 65,512 - 79,754","Rs. 1,35,362 - 1,97,838"
833,Gandhi Nagar Worli,-,"Rs. 18,550 - 20,346","Rs. 66,938 - 71,400","Rs. 1,04,040 - 1,33,110"
834,Girgaon,"Rs. 28,645 - 32,768/sq. ft.","Rs. 38,309 - 41,078",-,-
835,Gowalia Tank,"Rs. 36,592 - 44,242/sq. ft.",-,-,-
836,Haji Ali,"Rs. 37,145 - 48,408/sq. ft.",-,"Rs. 96,589 - 1,17,351",-
837,Hanuman Nagar,"Rs. 24,735 - 29,495/sq. ft.","Rs. 23,715 - 27,540",-,"Rs. 1,85,912 - 2,37,038"
838,Hindu Colony,"Rs. 29,878 - 33,660/sq. ft.",-,"Rs. 59,690 - 65,974",-
839,Jacob Circle,"Rs. 37,102 - 42,925/sq. ft.",-,"Rs. 1,13,002 - 1,27,128","Rs. 1,66,175 - 1,86,405"
840,Kamathipura,"Rs. 23,502 - 23,885/sq. ft.",-,-,-
841,Kemps Corner,"Rs. 41,990 - 52,105/sq. ft.","Rs. 46,199 - 58,018","Rs. 63,891 - 66,700",-
842,Koliwada,"Rs. 26,010 - 32,385/sq. ft.",-,"Rs. 61,922 - 81,898",-
843,Lal Baug,"Rs. 25,755 - 31,195/sq. ft.","Rs. 33,048 - 40,392","Rs. 61,940 - 70,788","Rs. 1,34,530 - 1,49,630"
844,Lower Parel,"Rs. 26,520 - 30,728/sq. ft.","Rs. 27,336 - 32,640","Rs. 67,150 - 80,750","Rs. 1,43,820 - 1,65,240"
845,Lower Parel East,-,"Rs. 31,719 - 34,223","Rs. 56,231 - 63,486",-
846,Lower Parel West,"Rs. 25,032 - 30,302/sq. ft.","Rs. 20,081 - 23,906","Rs. 72,675 - 80,750","Rs. 1,67,790 - 1,89,210"
847,Mahalaxmi,"Rs. 28,645 - 37,782/sq. ft.","Rs. 33,507 - 38,097","Rs. 89,199 - 1,12,985","Rs. 1,85,130 - 2,18,790"
848,Mahalaxmi Sindhi Colony,"Rs. 30,982 - 37,188/sq. ft.",-,-,-
849,Malabar Hill,"Rs. 47,218 - 57,715/sq. ft.","Rs. 58,565 - 75,692","Rs. 1,09,208 - 1,32,042","Rs. 2,04,171 - 2,44,307"
850,Mandvi,"Rs. 14,918 - 18,232/sq. ft.",-,-,-
851,Mantralaya,-,-,-,"Rs. 1,89,656 - 2,23,975"
852,Marine Drive,"Rs. 40,800 - 45,262/sq. ft.",-,"Rs. 1,00,682 - 1,33,918","Rs. 1,73,400 - 2,10,800"
853,Marine Drive Chowpatty,-,-,-,"Rs. 1,77,352 - 2,07,188"
854,Marine Lines,"Rs. 37,400 - 43,988/sq. ft.",-,"Rs. 1,03,020 - 1,35,660","Rs. 1,75,100 - 2,05,700"
855,Matunga,"Rs. 28,348 - 32,810/sq. ft.","Rs. 37,740 - 43,350","Rs. 58,507 - 68,258","Rs. 1,00,725 - 1,24,950"
856,Matunga East,"Rs. 27,625 - 31,875/sq. ft.","Rs. 39,061 - 44,867","Rs. 63,114 - 78,893","Rs. 97,186 - 1,16,083"
857,Matunga West,"Rs. 28,560 - 32,938/sq. ft.","Rs. 37,740 - 43,350","Rs. 55,718 - 65,408","Rs. 1,09,650 - 1,27,500"
858,Mumbai Central,"Rs. 32,895 - 41,395/sq. ft.","Rs. 28,560 - 33,456","Rs. 66,462 - 81,653",-
859,Napean Sea Road,"Rs. 46,538 - 56,058/sq. ft.","Rs. 56,355 - 71,272","Rs. 89,597 - 1,08,263","Rs. 2,24,407 - 2,61,195"
860,Nariman Point,-,-,-,"Rs. 2,92,612 - 3,44,632"
861,Parel,"Rs. 22,270 - 26,392/sq. ft.","Rs. 29,325 - 34,000","Rs. 62,645 - 72,930","Rs. 88,740 - 1,10,160"
862,Parmanand Wadi,"Rs. 22,398 - 25,032/sq. ft.","Rs. 27,770 - 33,660","Rs. 62,930 - 70,444","Rs. 83,116 - 1,06,279"
863,Peddar Road,"Rs. 39,738 - 46,878/sq. ft.","Rs. 60,562 - 68,212","Rs. 92,671 - 1,21,826","Rs. 1,72,156 - 2,01,838"
864,Prabhadevi,"Rs. 29,750 - 35,742/sq. ft.","Rs. 17,442 - 22,950","Rs. 71,400 - 83,895","Rs. 1,27,628 - 1,59,885"
865,Shivaji Park,"Rs. 30,770 - 35,828/sq. ft.","Rs. 41,269 - 45,200",-,"Rs. 99,960 - 1,22,570"
866,Shiv Sagar Estate,-,"Rs. 55,250 - 62,432",-,-
867,Siddharth Nagar,-,"Rs. 41,480 - 48,532",-,-
868,Tardeo,"Rs. 35,275 - 44,922/sq. ft.","Rs. 30,762 - 36,474","Rs. 65,512 - 79,754",-
869,Upper Worli,"Rs. 30,515 - 34,978/sq. ft.","Rs. 28,111 - 32,436",-,"Rs. 1,71,700 - 2,05,700"
870,Walkeshwar,"Rs. 42,032 - 57,460/sq. ft.",-,-,-
871,Worli,"Rs. 28,772 - 34,000/sq. ft.","Rs. 26,010 - 33,278","Rs. 77,222 - 87,975","Rs. 1,13,597 - 1,32,530"
872,Worli Hill,-,"Rs. 47,642 - 59,678","Rs. 68,850 - 82,450","Rs. 1,44,500 - 2,12,500"
873,Worli Naka,-,"Rs. 26,316 - 31,798","Rs. 70,125 - 84,150","Rs. 1,16,828 - 1,36,552"
874,Worli Seaface,"Rs. 35,615 - 49,342/sq. ft.","Rs. 47,049 - 53,465","Rs. 72,546 - 92,591","Rs. 1,08,460 - 1,23,250"
875,Bhakti Park,"Rs. 16,958 - 19,168/sq. ft.","Rs. 28,649 - 30,923","Rs. 44,412 - 48,450","Rs. 57,005 - 63,712"
876,Byculla,"Rs. 21,760 - 27,200/sq. ft.","Rs. 24,225 - 29,325",-,-
877,Byculla East,"Rs. 22,228 - 27,370/sq. ft.","Rs. 25,077 - 30,016",-,-
878,Byculla West,"Rs. 20,400 - 21,250/sq. ft.","Rs. 25,636 - 28,730",-,-
879,Chedda Nagar,-,"Rs. 22,100 - 25,415",-,-
880,Chembur,"Rs. 15,598 - 18,742/sq. ft.","Rs. 23,786 - 27,255","Rs. 37,400 - 43,350","Rs. 54,230 - 62,858"
881,Chembur (East),"Rs. 15,640 - 18,530/sq. ft.","Rs. 24,480 - 28,397","Rs. 38,250 - 44,200","Rs. 54,965 - 63,515"
882,Chembur (West),"Rs. 13,260 - 16,022/sq. ft.","Rs. 20,213 - 23,664","Rs. 26,732 - 31,790","Rs. 39,073 - 48,266"
883,Chembur Gaothan,-,-,"Rs. 40,229 - 49,448","Rs. 56,988 - 60,214"
884,Collectors Colony Chembur,"Rs. 15,980 - 17,170/sq. ft.","Rs. 24,310 - 27,115","Rs. 34,612 - 37,208",-
885,Cotton Green,-,"Rs. 12,584 - 14,191",-,-
886,Deonar,"Rs. 15,470 - 19,168/sq. ft.","Rs. 27,724 - 34,398","Rs. 38,250 - 45,050","Rs. 54,779 - 65,497"
887,Ghodapdeo,-,"Rs. 13,698 - 16,935",-,-
888,Govandi,"Rs. 12,835 - 14,875/sq. ft.","Rs. 18,438 - 21,372","Rs. 35,819 - 40,817",-
889,Govandi East,"Rs. 13,558 - 14,875/sq. ft.","Rs. 19,928 - 22,142","Rs. 35,343 - 40,966",-
890,Lalbaug,"Rs. 27,412 - 30,642/sq. ft.","Rs. 22,503 - 25,044","Rs. 58,624 - 64,842","Rs. 64,515 - 78,591"
891,Mankhurd,"Rs. 8,585 - 10,285/sq. ft.","Rs. 11,192 - 12,549",-,-
892,Mazgaon,"Rs. 23,375 - 29,410/sq. ft.","Rs. 27,051 - 33,108",-,-
893,Nagesh Patilwadi,-,-,"Rs. 35,768 - 42,027",-
894,Postal Colony,-,"Rs. 14,578 - 16,065",-,-
895,RCF Colony Chembur,"Rs. 15,258 - 18,530/sq. ft.","Rs. 23,842 - 27,582","Rs. 33,958 - 39,015",-
896,Sewri,"Rs. 23,120 - 26,818/sq. ft.","Rs. 29,070 - 32,462","Rs. 75,030 - 82,450","Rs. 99,652 - 1,43,336"
897,Sindhi Society Chembur,"Rs. 16,235 - 19,252/sq. ft.","Rs. 25,318 - 28,184","Rs. 37,952 - 43,605","Rs. 57,120 - 65,117"
898,Subhash Nagar,"Rs. 13,345 - 15,810/sq. ft.","Rs. 21,461 - 24,590","Rs. 41,942 - 47,933",-
899,Swastik Park,"Rs. 16,192 - 17,978/sq. ft.","Rs. 23,375 - 26,648","Rs. 36,550 - 42,500","Rs. 48,875 - 57,375"
900,Tilak Nagar,"Rs. 13,558 - 15,385/sq. ft.","Rs. 22,100 - 24,752","Rs. 32,201 - 36,035","Rs. 41,861 - 47,369"
901,Tolaram Colony,-,"Rs. 23,162 - 28,258","Rs. 32,512 - 36,338",-
902,Union Park,"Rs. 19,210 - 23,035/sq. ft.","Rs. 25,500 - 29,580","Rs. 39,525 - 43,478","Rs. 56,695 - 65,322"
903,Wadala,"Rs. 17,085 - 19,848/sq. ft.","Rs. 33,600 - 36,610","Rs. 42,211 - 47,893","Rs. 61,404 - 71,638"
904,Wadala East,"Rs. 17,510 - 19,805/sq. ft.","Rs. 28,221 - 30,461","Rs. 40,545 - 45,135","Rs. 56,962 - 63,663"
905,Wadala West,"Rs. 19,168 - 22,780/sq. ft.",-,"Rs. 45,518 - 55,632",-
