,Locality,Buy Rate per Sqft,1 BHK,2 BHK,3 BHK
198,Gokul Township,"Rs. 4,548 - 5,100/sq. ft.","Rs. 5,324 - 6,212",-,-
199,Golani Naka,"Rs. 4,802 - 5,312/sq. ft.",-,-,-
200,Hatkesh Udhog Nagar,"Rs. 7,225 - 7,990/sq. ft.","Rs. 10,285 - 12,155","Rs. 14,050 - 16,269",-
201,Indralok Phase 2,"Rs. 7,650 - 8,840/sq. ft.",-,-,-
202,Indralok Phase 3,"Rs. 7,905 - 8,882/sq. ft.",-,-,-
203,Indralok Phase 4,"Rs. 7,990 - 8,288/sq. ft.",-,-,-
204,Juchandra,"Rs. 3,995 - 4,590/sq. ft.","Rs. 4,675 - 5,100",-,-
205,Kanakia Park,"Rs. 7,480 - 8,372/sq. ft.","Rs. 10,752 - 11,688","Rs. 14,297 - 16,442",-
206,Kashigaon,"Rs. 7,352 - 8,798/sq. ft.",-,-,-
207,Kashimira,"Rs. 6,928 - 8,542/sq. ft.","Rs. 11,954 - 13,947","Rs. 14,244 - 15,601",-
208,Lakshmiben Chedda Nagar,"Rs. 4,420 - 5,142/sq. ft.",-,-,-
209,Mahajan Wadi,"Rs. 7,692 - 10,498/sq. ft.",-,"Rs. 16,456 - 20,196",-
210,Manickpur,"Rs. 5,312 - 6,078/sq. ft.",-,-,-
211,Medetiya Nagar,"Rs. 7,650 - 8,245/sq. ft.",-,-,-
212,Mira Bhayandar,"Rs. 7,778 - 8,925/sq. ft.","Rs. 10,948 - 12,376","Rs. 15,190 - 16,637","Rs. 15,827 - 18,201"
213,Miragaon,"Rs. 7,438 - 7,820/sq. ft.",-,-,-
214,Mira Road,"Rs. 7,735 - 8,628/sq. ft.","Rs. 10,397 - 11,815","Rs. 14,739 - 17,687","Rs. 19,653 - 21,525"
215,Mira Road East,"Rs. 7,735 - 8,585/sq. ft.","Rs. 10,528 - 11,964","Rs. 14,858 - 17,830","Rs. 20,081 - 21,994"
216,Morya Nagar,"Rs. 3,825 - 4,165/sq. ft.","Rs. 4,797 - 5,233",-,-
217,Naigaon (East),"Rs. 4,505 - 5,228/sq. ft.","Rs. 4,570 - 5,331","Rs. 6,162 - 7,395",-
218,Naigaon (West),"Rs. 3,825 - 4,250/sq. ft.","Rs. 4,797 - 5,233",-,-
219,Nalasopara (West),"Rs. 3,825 - 4,292/sq. ft.","Rs. 4,675 - 5,100","Rs. 5,692 - 7,589",-
220,Nalasopara East,"Rs. 3,910 - 4,632/sq. ft.","Rs. 4,712 - 5,569",-,-
221,Nallasopara,"Rs. 3,825 - 4,420/sq. ft.","Rs. 4,675 - 5,100","Rs. 6,452 - 8,387",-
222,Naringi,"Rs. 3,102 - 4,122/sq. ft.",-,-,-
223,Navghar Gaon,"Rs. 7,055 - 7,565/sq. ft.",-,-,-
224,Navghar Naka,"Rs. 6,588 - 7,862/sq. ft.",-,-,-
225,Naya Nagar,"Rs. 7,310 - 8,288/sq. ft.","Rs. 11,220 - 13,558",-,-
226,Nilemore,"Rs. 3,825 - 4,250/sq. ft.","Rs. 4,610 - 5,448",-,-
227,Poonam Gardens,"Rs. 8,585 - 9,562/sq. ft.","Rs. 12,431 - 12,928","Rs. 17,400 - 18,156",-
228,Poonam Sagar Complex,"Rs. 9,392 - 10,072/sq. ft.","Rs. 10,970 - 11,783","Rs. 15,198 - 16,464",-
229,Pragati Nagar,"Rs. 4,930 - 5,482/sq. ft.",-,-,-
230,Ramdev Park,"Rs. 7,608 - 8,288/sq. ft.","Rs. 9,464 - 11,954","Rs. 11,888 - 15,190",-
231,Sector-9 Shanti Nagar,"Rs. 7,395 - 8,585/sq. ft.",-,-,-
232,Shanti Nagar,"Rs. 7,948 - 8,925/sq. ft.","Rs. 8,119 - 9,134",-,-
233,Shanti Park,"Rs. 8,458 - 9,775/sq. ft.","Rs. 10,817 - 12,878",-,-
234,Sheetal Nagar,"Rs. 7,522 - 8,968/sq. ft.","Rs. 10,282 - 11,138","Rs. 13,464 - 14,688",-
235,Shrishti,-,"Rs. 10,625 - 11,050","Rs. 17,478 - 18,998",-
236,Sriprastha,"Rs. 3,868 - 4,802/sq. ft.",-,-,-
237,Suyog Nagar,"Rs. 6,035 - 6,502/sq. ft.",-,-,-
238,Tirupati Nagar,"Rs. 5,058 - 5,822/sq. ft.",-,-,-
239,Umelman,"Rs. 5,610 - 6,418/sq. ft.",-,-,-
240,Vasai,"Rs. 4,972 - 5,695/sq. ft.","Rs. 6,545 - 7,948","Rs. 10,200 - 11,560",-
